time,tempICP,hum,tempSI7021,windSpeed,pres,RVPin,TMPPin,noise,noiseCalib,lum,meanRadTempPin,meanRadTempCalib,trNat,trFor
Fri Nov 10 22:48:43 2023,22.63573,45.78452,22.49848,0.01672259,99614.89,2336,2928,27,54.10399,0.0,21.25,20.49,19.09079,20.43555
Fri Nov 10 22:49:44 2023,22.66777,45.76163,22.49848,0.0001181219,99617.17,2247,2928,21,56.12846,0.0,21.25,20.49,19.09079,20.48721
Fri Nov 10 22:50:44 2023,22.67845,45.72348,22.51994,0.002358456,99619.51,2278,2928,28,53.71545,0.0,21.3125,20.58,19.24185,20.56375
Fri Nov 10 22:51:45 2023,22.69981,45.6777,22.55211,0.005001402,99621.76,2294,2937,21,56.12846,0.0,21.3125,20.58,19.21387,20.55411
Fri Nov 10 22:52:46 2023,22.72118,45.68533,22.57356,0.002006294,99623.81,2274,2950,22,55.82215,0.0,21.375,20.67,19.36459,20.65558
Fri Nov 10 22:53:47 2023,22.72919,45.63193,22.56284,0.003955189,99622.4,2288,2941,20,56.42435,0.0,21.375,20.67,19.37384,20.64847
Fri Nov 10 22:54:48 2023,22.73987,45.60141,22.59501,0.001723311,99627.06,2271,2906,34,50.92837,0.0,21.375,20.67,19.34607,20.65671
Fri Nov 10 22:55:49 2023,22.77458,45.60141,22.61646,0.004139647,99624.33,2288,2896,24,55.17508,0.0,21.375,20.67,19.32745,20.64722
Fri Nov 10 22:56:49 2023,22.7639,45.57089,22.62718,0.0005709911,99624.9,2256,2930,23,55.50464,0.0,21.4375,20.76,19.48709,20.75336
Fri Nov 10 22:57:50 2023,22.79861,45.51749,22.63791,0.008582953,99623.48,2308,2931,25,54.83252,0.0,21.4375,20.76,19.47787,20.72598
Fri Nov 10 22:58:51 2023,22.80663,45.55563,22.65936,0.002458939,99624.55,2276,2922,19,56.71048,0.0,21.4375,20.76,19.45941,20.74378
Fri Nov 10 22:59:52 2023,22.81998,45.50223,22.68081,0.01236387,99623.69,2320,2922,32,51.95999,0.0,21.4375,20.76,19.44092,20.71671
Fri Nov 10 23:00:53 2023,22.83867,45.46408,22.68081,0.002140051,99623.55,2273,2955,25,54.83252,0.0,21.4375,20.76,19.44092,20.7449
Fri Nov 10 23:01:54 2023,22.86003,45.44882,22.69154,0.0008415851,99623.28,2259,2912,22,55.82215,0.0,21.5,20.85,19.60019,20.84174
Fri Nov 10 23:02:55 2023,22.87071,45.42593,22.71298,0.0004017686,99624.4,2251,2876,27,54.10399,0.0,21.5625,20.94,19.74954,20.93491
Fri Nov 10 23:03:56 2023,22.89207,45.41068,22.74516,0.0006495543,99622.06,2255,2903,22,55.82215,0.0,21.5625,20.94,19.72229,20.93307
Fri Nov 10 23:04:56 2023,22.91077,45.35727,22.76661,0.0009502476,99625.64,2259,2846,32,51.95999,0.0,21.5625,20.94,19.70407,20.93118
Fri Nov 10 23:05:57 2023,22.94548,45.30386,22.79879,0.04793133,99627.45,2387,2935,26,54.47589,0.0,21.5625,20.94,19.67661,20.84564
