#t (s)	T TESTO (°C)	T DS18B20 (°C)
845	33.1	29.125
846	33.1	29.125
847	33.1	29.125
848	33.1	29.125
849	33.1	29.125
850	33.1	29.125
851	33.1	29.125
852	33.1	29.125
853	33.1	29.125
854	33.1	29.125
855	33.1	29.1875
856	33.1	29.125
857	33.1	29.125
858	33.1	29.1875
859	33.1	29.1875
860	33.1	29.1875
861	33.1	29.1875
862	33.1	29.1875
863	33.1	29.125
864	33.1	29.1875
865	33.1	29.1875
866	33.1	29.1875
867	33.1	29.1875
868	33.1	29.1875
869	33.1	29.1875
870	33.1	29.1875
871	33.1	29.1875
872	33.1	29.1875
873	33.1	29.1875
874	33.1	29.25
875	33.1	29.1875
876	33.2	29.1875
877	33.2	29.25
878	33.2	29.25
879	33.2	29.25
880	33.2	29.1875
881	33.2	29.25
882	33.2	29.25
883	33.2	29.25
884	33.2	29.25
885	33.2	29.25
886	33.2	29.25
887	33.2	29.25
888	33.2	29.25
889	33.2	29.25
890	33.2	29.25
891	33.2	29.25
892	33.2	29.25
893	33.2	29.25
894	33.2	29.3125
895	33.2	29.3125
896	33.2	29.3125
897	33.2	29.3125
898	33.2	29.3125
899	33.2	29.3125
900	33.2	29.3125
901	33.2	29.3125
902	33.2	29.3125
903	33.2	29.3125
904	33.2	29.3125
905	33.2	29.3125
906	33.2	29.3125
907	33.2	29.3125
908	33.3	29.3125
909	33.3	29.3125
910	33.3	29.3125
911	33.3	29.3125
912	33.3	29.3125
913	33.3	29.3125
914	33.3	29.3125
915	33.3	29.375
916	33.3	29.3125
917	33.3	29.375
918	33.3	29.375
919	33.3	29.375
920	33.3	29.375
921	33.3	29.375
922	33.3	29.375
923	33.3	29.375
924	33.3	29.375
925	33.3	29.375
926	33.3	29.375
927	33.3	29.375
928	33.3	29.375
929	33.3	29.375
930	33.3	29.4375
931	33.3	29.4375
932	33.3	29.375
933	33.3	29.4375
934	33.3	29.4375
935	33.3	29.375
936	33.3	29.4375
937	33.3	29.4375
938	33.3	29.4375
939	33.3	29.4375
940	33.4	29.4375
941	33.4	29.4375
942	33.4	29.4375
943	33.4	29.4375
944	33.4	29.4375
945	33.4	29.5
946	33.4	29.4375
947	33.4	29.4375
948	33.4	29.4375
949	33.4	29.4375
950	33.4	29.4375
951	33.4	29.4375
952	33.4	29.5
953	33.4	29.4375
954	33.4	29.5
955	33.4	29.4375
956	33.4	29.5
957	33.4	29.5
958	33.4	29.5
959	33.4	29.4375
960	33.4	29.5
961	33.4	29.5
962	33.4	29.5
963	33.4	29.5
964	33.4	29.5
965	33.4	29.5
966	33.4	29.5
967	33.4	29.5
968	33.4	29.5
969	33.4	29.5
970	33.4	29.5
971	33.4	29.5
972	33.4	29.5
973	33.4	29.5625
974	33.5	29.5
975	33.5	29.5
976	33.5	29.5625
977	33.5	29.5625
978	33.5	29.5625
979	33.5	29.5
980	33.5	29.5625
981	33.5	29.5625
982	33.5	29.5625
983	33.5	29.5625
984	33.5	29.5625
985	33.5	29.5625
986	33.5	29.5625
987	33.5	29.5625
988	33.5	29.5625
989	33.5	29.5625
990	33.5	29.5625
991	33.5	29.5625
992	33.6	29.625
993	33.6	29.625
994	33.6	29.5625
995	33.6	29.625
996	33.6	29.625
997	33.6	29.625
998	33.6	29.625
999	33.6	29.625
1000	33.6	29.625
1001	33.6	29.625
1002	33.6	29.625
1003	33.6	29.625
1004	33.6	29.625
