#t(s)	T TESTO (°C)	T DS18B20 (°C)
1191	35	30.75
1192	35	30.8125
1193	35	30.75
1194	35	30.75
1195	35	30.75
1196	35	30.75
1197	35	30.75
1198	35	30.8125
1199	35	30.75
1200	35	30.75
1201	35	30.75
1202	35	30.8125
1203	35.1	30.75
1204	35.1	30.75
1205	35.1	30.8125
1206	35.1	30.75
1207	35.1	30.75
1208	35.1	30.8125
1209	35.1	30.8125
1210	35.1	30.75
1211	35.1	30.75
1212	35.1	30.8125
1213	35.1	30.8125
1214	35.1	30.75
1215	35.1	30.8125
1216	35.1	30.8125
1217	35.1	30.8125
1218	35.1	30.75
1219	35.1	30.8125
1220	35.1	30.8125
1221	35.1	30.8125
1222	35.1	30.8125
1223	35.1	30.8125
1224	35.1	30.8125
1225	35.1	30.8125
1226	35.1	30.8125
1227	35.1	30.8125
1228	35.1	30.8125
1229	35.1	30.8125
1230	35.1	30.8125
1231	35.1	30.8125
1232	35.1	30.8125
1233	35.1	30.8125
1234	35.1	30.8125
1235	35.1	30.8125
1236	35.1	30.8125
1237	35.1	30.8125
1238	35.1	30.8125
1239	35.1	30.8125
1240	35.1	30.8125
1241	35.1	30.8125
1242	35.1	30.8125
1243	35.1	30.8125
1244	35.1	30.8125
1245	35.1	30.8125
1246	35.1	30.8125
1247	35.1	30.8125
1248	35.1	30.8125
1249	35.1	30.8125
1250	35.1	30.8125
1251	35.1	30.8125
1252	35.1	30.8125
1253	35.1	30.8125
1254	35.1	30.8125
1255	35.1	30.75
1256	35.1	30.8125
1257	35.1	30.75
1258	35.1	30.8125
1259	35.1	30.8125
1260	35.1	30.8125
1261	35.1	30.8125
1262	35.1	30.8125
1263	35.1	30.8125
1264	35.1	30.8125
1265	35.1	30.8125
1266	35.1	30.8125
1267	35.1	30.8125
1268	35.1	30.8125
1269	35.1	30.875
1270	35.1	30.8125
1271	35.1	30.8125
1272	35.1	30.875
1273	35.1	30.8125
1274	35.1	30.8125
1275	35.1	30.8125
1276	35.1	30.8125
1277	35.1	30.8125
1278	35.1	30.8125
1279	35.1	30.8125
1280	35.1	30.8125
1281	35.1	30.8125
1282	35.1	30.8125
1283	35.1	30.8125
1284	35.1	30.8125
1285	35.1	30.8125
1286	35.1	30.8125
1287	35.1	30.8125
1288	35.1	30.8125
1289	35.1	30.8125
1290	35.2	30.875
1291	35.2	30.875
1292	35.2	30.8125
1293	35.2	30.8125
1294	35.2	30.8125
1295	35.2	30.8125
1296	35.2	30.8125
1297	35.2	30.8125
1298	35.2	30.875
1299	35.2	30.875
1300	35.2	30.875
1301	35.2	30.8125
1302	35.2	30.875
1303	35.2	30.8125
1304	35.2	30.8125
1305	35.2	30.875
1306	35.2	30.8125
1307	35.2	30.875
1308	35.2	30.875
1309	35.2	30.875
1310	35.2	30.875
1311	35.2	30.875
