NO;SOUND;UNIT;TIME
436;52.4;dBC;05-04-24/14:58:50
437;53.1;dBC;05-04-24/14:59:00
438;55.5;dBC;05-04-24/14:59:10
439;52.7;dBC;05-04-24/14:59:20
440;50.0;dBC;05-04-24/14:59:30
441;53.1;dBC;05-04-24/14:59:40
442;54.8;dBC;05-04-24/14:59:50
443;56.7;dBC;05-04-24/15:00:00
444;53.6;dBC;05-04-24/15:00:10
445;55.3;dBC;05-04-24/15:00:20
446;53.6;dBC;05-04-24/15:00:30
447;52.2;dBC;05-04-24/15:00:40
448;58.6;dBC;05-04-24/15:00:50
449;55.5;dBC;05-04-24/15:01:00
450;61.2;dBC;05-04-24/15:01:10
451;53.9;dBC;05-04-24/15:01:20
452;62.4;dBC;05-04-24/15:01:30
453;62.4;dBC;05-04-24/15:01:40
454;67.0;dBC;05-04-24/15:01:50
455;58.4;dBC;05-04-24/15:02:00
456;57.9;dBC;05-04-24/15:02:10
457;52.2;dBC;05-04-24/15:02:20
458;53.4;dBC;05-04-24/15:02:30
459;51.5;dBC;05-04-24/15:02:40
460;52.7;dBC;05-04-24/15:02:50
461;51.0;dBC;05-04-24/15:03:00
462;50.0;dBC;05-04-24/15:03:10
463;52.2;dBC;05-04-24/15:03:20
464;55.8;dBC;05-04-24/15:03:30
465;54.3;dBC;05-04-24/15:03:40
466;53.1;dBC;05-04-24/15:03:50
467;50.8;dBC;05-04-24/15:04:00
468;55.8;dBC;05-04-24/15:04:10
469;54.8;dBC;05-04-24/15:04:20
470;52.9;dBC;05-04-24/15:04:30
471;60.1;dBC;05-04-24/15:04:40
472;52.2;dBC;05-04-24/15:04:50
473;52.4;dBC;05-04-24/15:05:00
474;52.4;dBC;05-04-24/15:05:10
475;51.7;dBC;05-04-24/15:05:20
476;52.7;dBC;05-04-24/15:05:30
477;51.2;dBC;05-04-24/15:05:40
478;50.5;dBC;05-04-24/15:05:50
479;49.8;dBC;05-04-24/15:06:00
480;50.8;dBC;05-04-24/15:06:10
481;50.8;dBC;05-04-24/15:06:20
482;52.4;dBC;05-04-24/15:06:30
483;50.5;dBC;05-04-24/15:06:40
